music_id,music_name,singer,comment_num
482565639,⭐ ᴄ̷ᴀ̷ɴ̷'̷ᴛ̷ ̷ғ̷ᴏ̷ʀ̷ɢ̷ᴇ̷ᴛ̷ ̷ʏ̷ᴏ̷ᴜ̷!̷ ⭐,廖喜庆,91
487028253,☆。・゜。✨ty for 2k all ✨。゜・。☆,niteboi,31
1318969328,⭐️Stardust 2018-10-20 01_00_22,萌萌哒的徐老师,20
1395720371,✧,沙皮,1094
1416047360,✧,山氿,6
1297503091,✭,Mr.YEUNG,11
1377021806,✯,Roccky,550
553093515,✡,Wmoons,39
36089479,☆,今井絵理子,115
1383219833,☆,old8ight,2
520413769,☆,KATANA99,30
1321640336,☆,忆乡,13
1367360604,☆.,go missing,3731
1390225775,☆,Chloe Wonderland,726
1380590404,✦,oIMFINEo,5
29753852,★,陈粒,10147
422428992,★,Lopu$,1204
1348435860,★,We live forever,48
521061760,★,Clarence人造人,353
521663463,☆★,$3,19
1324841211,˚✧₊⁎,左雅婕,3
1407658647,❛˓◞˂̵✧,喪甜老爹,71
1304734183,✡free,Q.,7
1425586358,(✧◡✧),拿花负荷,741
1424507670,✧ ✧ ✧,L Y V E T,59
1424520424,✦ ✦ ✦,L Y V E T,21
1393762895,*:･ﾟ✧✞,cyberangel99,4
1346403636,✧✧✧✧,Dekeu,1921
35807235,☆★777,あじ,18
1405763880,☆☆★☆☆,JiuGe,0
1347835988,★☆★☆★,YungRare,1
415792966,✫TʀɪᴀᴅZ✫,Grisfx/JOURNAL,1342
1421337339,✧LALALA✧,Dekeu,35
419594779,✧ Love10 ✧,juunana/まさらP/masara,1469
1369815348,☆★★☆☆☆,刘建国LilJianGuo,4
794132,止まレンぜ★,ONE☆DRAFT,27
552118,トモダチ☆★,AZU,18
26672721,Kdne ✯ Break,RNDM ✯ KDNE,27
1423751074,✧✧2D Girl✧✧,Roccky/Dekeu,52
1417864741,★☆★☆★☆★,Ma-Hi-Te,0
26101745,ミツボシ☆☆★,原紗友里,280
1374965608,✦✧Surging✧✦,VESK GREEN 青菜,175
1401725188,✯「FREE BEAT」,CAND1E,3
1356446487,GIRA×2★SEVEN,HE★VENS,259
28490897,The ★☆★ 2NITE,Renard,7
29822221,KAGAYAKE ★ 乙女,ちぃむdmp☆,25
1405264736,✯ within a dream ✯,✭joshuasageart✭,17
482262850,Starry ✡ Sky（伴奏）,谬论P/星砂,10
26183339,✯✯SAKURA DUSK✯✯,HOTEL PARALLAX,27
1345488051,☆★ボーナストラック★☆,Odikonic,2
1372188891,:✧･ﾟ: *✧･ﾟ:* ✧･ﾟ: *✧･ﾟ:* ✧:,71,57
35755758,RARE ★★★★★★★★☆☆,GRIMECRAFT,72
478888482,✧ Ghost Fight ✧ UTComplex,Vicho,232
1400659432,“through my mind” ✧ Prod. Lean,NewPlanCrew/Lean,85
1329771294,☆ㅤㅤㅤㅤ✦ㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤ✦ㅤㅤㅤAlways.ㅤㅤㅤㅤㅤㅤ✦ㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤ✦ㅤㅤ☆ㅤ,失 眠 怪 物/LINBi,820
33861415,☆☆永遠★STAGE☆☆ 星谷ソロバージョン,花江夏樹,72
1433795863,GRAVITY,邕圣祐,1967
1432234863,2U,姜丹尼尔,1687
1434057836,Digital Lover (GRAY ver.),Gray,855
1434080470,썸데이 (someday),nafla/GAEKO/柚子,196
1433764654,바보라도 알아,Stray Kids,511
1433281670,우리 이별을 마주하던 그 밤 아래,J_ust,444
1434325080,A song for you,가호(Gaho),223
1433207421,Walk,Peakboy,253
1434152671,RELAX,Stable,6
1433557304,Afternoon (Feat. Loook),Muzin/Loook,5
1432556569,She25,i11evn,6
1434036044,나 원래 (Boy N Girl),MY.st,3
1433764354,Smoke,ØFFSHORE/JB/JOMALXNE,382
1434325849,오랜만이야 (Feat. 버벌진트),Vincent Blue/Verbal Jint,19
1433194348,사랑하기 전에는,刘海俊,1
1434316826,숨이벅차올라,4CARAT,13
1432920563,Bad think (Prod. TSLW),Mavin/amin,3
1433196414,계절은 돌아 왔지만,혁래,0
1434244051,남겨진 멜로디 남겨진 멜로디,The Rock Diamond,1
1432536579,내 진짜 마음,The Brothers,23
1433407231,내가 없어도,Grizzly,17
1433281127,내가 가는 길이 다 길이 돼 버려,Churry,23
1433764923,나의 오늘이 너의 오늘을 만나,JOO YOUNG,499
1432556528,Dive For Dream,234,2
1431915085,짭 (Prod. RUVE),tocopa,1
1433729030,지키지 못한 말,송이한,22
1433407226,오늘부터 우리 사랑하기로 해요,Honey Apple,13
1433718080,그별하기 (The starry night) (Original ver.),K-TIGERS ZERO,17
1433406754,Rainbow,yovng trucker/ Meloh,3
1434036035,What about you,김창현,1
1433406757,Clean,it's,73
1434033819,유감 (Regret) (Feat. BIG Naughty (서동현)),ODDSON/BIG Naughty,7
1433786285,Place (Feat. Yoojung, Bullsa Chucka),Dan_E/Yoojung/Bullsa Chucka,4
1433770701,우울한 일기,은오 (Eunoh),17
1434036419,Hey,金可琳,14
1433461388,Paris,murmur,9
1434057865,도올학당 수다승철 타이틀 로고송,李承哲,16
1433517973,그대 나를 안아줄 수 있나요 (With 아빠),NIDA,18
1434057479,안녕, 오늘의 그대에게,林韩星,40
1433518794,사랑한 모든 순간 (Vocal. 정미),Iony/정미,15
1433557348,원해 (depressed),김승호,6
1433557310,TireD ❚❚,MIGHTY/E. Xion,8
1433729031,매일 너를,송이한,2
1433718081,그별하기 (The starry night),K-TIGERS ZERO,5
1433775110,봄바람에 널 날려 보낼래,Yosep,12
1433815381,그런일은,BANHANA,10
1433807967,처음처럼,M.C The Max,102
1433208326,1위(primero),Kisum,141
1433780920,All Day (Feat. Benzamin),TYLE/Benzamin,0
1433799375,WORLD(((0)))RESET Lullaby,HWI,2
1433507200,Indigo,房东的猫,5225
1434011535,朱雀,留声玩具,976
1434033729,我想坠入,杜航,1387
1431785856,樂色,Quinn葵因,2343
1434309927,你想要的,颜人中,5585
1433839075,灰,YKEY/Duzzy,1895
1428634139,Maybe Maybe,椅子乐团 The Chairs,1768
1432959007,藏于流年的抱憾,柏松,2559
1431978286,今天,李子阳,467
1432147549,如果时间可以停止,王大培,57
1433274839,触不可及的你,卤蛋老师,1677
1433546017,没有人会死于心碎,大布偶,67
1432246043,我的女孩,宝藏男孩/王嘉懿,924
1433718940,姐妹,李不然,134
1431723332,愿鄙余生莫染一程风雨,林啟得,493
1433983758,旅行,崔龙阳,519
1433302883,小事,王欣宇,1807
1433478445,寥寥几载红颜,曲肖冰/半阳,271
862460559,Beautiful,IAN-T,15371
1434152584,1Happiness,ZDEV,39
1432655645,Cuckoo,Norlha诺拉,142
1432655138,我好像不怎么样,执纸大魔王,510
1433274701,不许谈恋爱,O.WEN,1685
1433569046,влюбиться,野三七/dana37,25
1433578786,Mua,浦东老农民/熊貓飛行員,1005
1433578843,今天的你如此可爱,罗永川/崔雅然,237
1433585458,Inner Voice 心仓万籁,雷雨心,651
1430583248,四月心情,Cheesemind,25
1433984745,风雨,张然聍（R.C）,4
1429791711,你听我唱,崔垚,1132
1422425397,忘记拥抱（Cover：潘玮柏）,南橘,1732
1412846583,不怕（《神兵小将》片尾曲）（Cover：赵蓓）,千里狗,1697
1426898992,无人之岛（Cover：任然）,芊芊酱,890
1422229142,半途而废,曾溢,369
1422884240,2020520,CHE大师兄/汽水HazySession,3352
436346833,凄美地 ,郭顶,30937
451113440,国王与乞丐,华晨宇,12423
