music_id,music_name,singer,comment_num
1403044190,Yellow Hearts,Ant Saunders,1118
866065093,EX,Kiana Ledé,5763
571545135,23,Rejjie Snow/Caroline Smith,8905
504264204,endless,illswrth,2066
1403204015,不亏不欠,袁娅维,8450
624759,银の龙の背に乗って(Tv-Mix),中島みゆき,1394
1422992406,骑在银龙的背上 (銀の龍の背に乗って) (Live),MISIA,16326
480395029,s/easons,zac schram,1155
92939,那女孩对我说,黄义达,80330
1422989856,不亏不欠 (Live),袁娅维,6187
1422992414,斗牛 (Live),华晨宇,116808
1422989687,那女孩对我说 (Live),萧敬腾,7936
525421304,Noite Preta,Lula Cortes,1
1324886442,And We Hear &quot;I Love You&quot;,Lena Platonos,3
1424766691,多想在平庸的生活拥抱你 (Live),隔壁老樊,54339
513360721,云烟成雨,房东的猫,282669
526464293,空空如也 ,任然,142150
487190970,现任朋友,JC陈泳彤,7522
474739467,心安理得,王天戈,66761
534064010,不必说抱歉,胡66,15118
191819,当你孤单你会想起谁,张栋梁,70997
5143924,Modern Love,David Bowie,263
175072,不再联系,夏天Alex,144091
1355079681,四月樱花,dylanf,12087
1384026889,所念皆星河,CMJ,114486
434902428,花火が瞬く夜に,羽肿,88332
509720124,夜、萤火虫和你,AniFace,48107
492390949,星茶会,灰澈,32264
460319,○+●,kous/ef,47403
32945000,Across the Uneeverse,My-Q,9274
26213616,I Wish You Love,安佐里,3512
1362195749,☾,go missing,1947
1426890453,Overcast,小叶养鹅,124
1361109497,If We Never Met,JOHN.k,1439
1424766669,你的答案 (Live),黄霄雲,59908
16964052,Written On the Sky,Max Richter,595
1423981724,太阳 (坚持守护希望版),邱振哲,2210
565975133,安排好的人生,白举纲,3697
33418578,你还要我怎样,谭艳,2657
1315718569,有一种悲伤,A-Lin,210526
1424766684,太阳 (Live),萧敬腾,6787
460112012,太阳,邱振哲,12399
1424774086,安排好的人生 (Live),白举纲,12116
1313701868,没那么喜欢,陈雪凝,13509
1424766538,有一种悲伤 (Live),袁娅维,7311
351271,那就这样吧,动力火车,30496
544151860,是我太傻了,季彦霖,820
5237823,可惜不是你,梁静茹,3310
327225,如果爱下去,张靓颖,9935
27563579,Breakfast In Bed,Sugar Candy Mountain,1620
191187,何必在一起,张杰,4817
562675512,后来的我们,刘增瞳,733
21167480,Right On,Marvin Gaye,21
28699446,思い出をありがとう,坂本昌一郎,8304
31134621,《瞬间的永恒》夜色钢琴曲,赵海洋,13841
375630,别说对不起,S.H.E,1354
1307789958,雨下的瞬间,李梦尹,1512
496620009,等下一个他,习谱予,37213
477931,ヨスガノソラ メインテーマ -記憶-,Bruno Wen-li,16279
504923885,雪之梦钢琴版（snowdreams钢琴主旋律版）,航氏钢琴曲,1187
448917713,Valder Fields (钢琴版纯音乐),Various Artists,3373
29137872,ζ,α·Pav,36875
4872539,一个人的浪漫(Piano Instrumental),群星,1120
516587988,Winter's Night,Joshua Hyslop,779
730792,夕暮れ赤とんぼ… 幻想の永远祭,Foxtail-Grass Studio,865
1308150564,Bad,Lennon Stella,2878
19292804,22,Taylor Swift,16015
476428979,Eyes Closed,Halsey,4824
403392207,Somebody Else,The 1975,4041
4968365,LOVE Theme from TIGA &lt;M-2&gt;,矢野立美,54210
421423806,小半,陈粒,231128
1424774318,小半 (Live),徐佳莹,7495
35447712,듣는편지,灿烈,2606
1411991905,能解答一切的答案,周深,11906
1424774075,能解答一切的答案 (Live),周深,16047
1424766676,你要相信这不是最后一天 (Live),华晨宇,400314
523661967,Merry Go Round,The Equatics,2
22704931,明日へ,MISIA,1817
553022466,I Want To Hug The Sky,Los Impala,4
1302794628,我配不上你（Cover：夏天Alex）,苗田雨,11895
862099305,完美的陌生人,曲肖冰,2211
431080419,回忆那么伤 ,孙子涵,49522
1424766941,向着明天 (明日へ) (Live),MISIA,8455
146621,分开不一定分手,山野,3550
1394963332,你应该很快乐,虎二,20836
1400453707,你怎么舍得我难过,虎二/戴羽彤,6039
147258,爱一个人好难,苏永康,18055
178168,感动天 感动地,宇桐非,687
31066711,《夜色钢琴曲》秋日私语,赵海洋,1544
293436,神秘园之歌,宋迪,3309
433107499,星空,文武贝,8426
1091088,canon in d,Brian Crain,26430
5181411,The sound of silence,Various Artists,5393
438466712,one more time，one more chance,灿烈,2095
1142870,I Fall in Love Too Easily,Chet Baker,1483
1304592505,The Chicago Party Theme,Jesus Wayne,1
566400437,Don't Talk Like That - Original,Clarence Murray,2
507783538,Starry Starry Night,Lianne La Havas,15827
551970360,Youngblood,5 Seconds of Summer,7329
1297486027,SoulMate,Zico/IU,7702
399406199,Dream (Club Live ver.),秀智/伯贤,1707
415786182,Paul,Big Thief,15156
428116125,君が生まれた日,moose,5282
351318,第一滴泪,动力火车,5914
1425818689,第一滴泪 (Live),曾一鸣,14464
558097640,打开,黄霄雲,7674
435552235,原来我还爱着你,江若琳,933
22746144,未来へ,Kiroro,14251
1425814786,纯金打造 (Live),萧敬腾,3865
1425814794,向着未来 (未来へ) (Live),MISIA,4221
573168808,不想和你做朋友,伊晗/苏琛,881
545350530,有些爱情放不下,唐伯虎Annie,11880
1425818675,打开 (Live),黄霄雲,23536
1341964346,你的酒馆对我打了烊,陈雪凝,124221
276220,下辈子如果我还记得你,马郁,28218
417859631,我好像在哪见过你,薛之谦,257146
205342,给我一个理由忘记,A-Lin,37745
28095072,分手后不要做朋友,梁文音,8991
536483221,你怎么蠢到我喜欢你都不知道,邹念慈,34201
1308818373,如果你爱上了别人请别告诉我,季彦霖,438
22854049,纯金打造,萧敬腾,1180
1342928439,Restraint (Kluentah Remix),The Golden Filter,1
527223995,你的名字插曲《黄昏之时》,Ericlan,3110
1351818587,棉花糖(纯音乐）（Cover：至上励合）,彭艺洲,79
478507889,卡农（经典钢琴版）,dylanf,44508
16330784,Electric Relaxation,A Tribe Called Quest,81
488388991,Wiper,Suchmos,240
1369626793,安河桥间奏（Cover：杏仁c）,胡洋,4473
424995318,Stitches,Conor Maynard,3215
27588021,Longing,GIN,5491
2866463,OK,Julie Peel,12965
1421012624,Starlight,92914,210
471968457,Versailles,Leo Kalyan,873
534540206,告白の夜,Ayasa绚沙,145149
567366119,Nice to See You,Vansire/Floor Cry,1500
464508221,Fly,everbloom,685
1425814826,Love Can Fly (Live),袁娅维,4791
1425818683,无问 (Live),周深,20044
525278524,无问,毛不易,102180
1428605254,不透气的房间 (Live),秦凡淇,20976
1425818639,我还年轻 我还年轻 (Live),徐佳莹,14628
1378436698,누가 봐도 우린 (Be My Love),EXO-CBX,8358
1416893023,再也没有,戴羽彤,804
1425818677,荒野魂斗罗 (Live),华晨宇,83747
108493,我还想她,林俊杰,82856
4872533,拾忆,张翰,57091
1411358329,勇气,棉子,79454
29751571,Love Can Fly,袁娅维,1977
39436183,You &amp; I,Plastic,2241
2061452,The Right Path,Thomas Greenberg,91600
1302286775,未知-Reset feat 纯音乐版.重置（拆南墙 remix）,杨权威,2573
1363078221,如果的事,superluckyqi,30767
517643269,独家记忆（Cover：陈小春）,陳梦嘉,5602
540042,Loveless (Instrumental),山下智久,10731
22712173,Refrain,Anan Ryoko,101191
863489767,蜜蜂,王贰浪,20475
30987703,Frontier,Doctor Vox,34638
699519,ひとひら,BLU-SWING,1046
30854966,Masked Heroes,Vexento,67520
1334296095,223's Feat YNW Melly (Produced By Rocco &amp; Glokknine),GlokkNine/YNW Melly,4383
514701983,Sweet Survivor,NONA REEVES,265
454485302,Moonlight (Piano Version) [Cover EXO],Mike Zhou,55
456175605,青春の胸騒ぎ,Awesome City Club,1645
1387519268,I Don't Miss You at All,FINNEAS,3212
492833245,Bittersweet Chocolate,mr. hong,16890
2748092,Cachel Wood,Isobel Campbell,2379
420513630,안아줘,灿烈,7826
574906258,Fresh Roses,Juke Ross,2190
548950024,******* broken hearts,Billie Eilish,4116
35448725,All of me,灿烈,14852
1608875,Paper Window Dreams,Jeff Pianki,6165
5055335,Zorba The Greek,John Murphy/David Hughes,9163
438466637,Special Today,Mandy/OHZU,3812
1405914733,Power To Forgive,吉克隽逸,1962
522352195,连名带姓,张惠妹,17734
1428612039,Power to Forgive + Looking For Trouble (Live),吉克隽逸,6994
521749251,言不由衷,徐佳莹,31188
1428598955,连名带姓 (Live),黄霄雲,40566
1341759314,我连自己都不爱,佟鑫,5909
1428605171,好的 晚安 (Live),萧敬腾,5412
1410449935,Looking For Trouble,吉克隽逸,1631
1348383168,原谅我还没忘记,袁小葳,7208
1307659336,The Real Me,Radio Stars,3
1315713997,Lui e lei,Natalino Otto,1
547497128,流着泪说分手（Cover JZW）,丁芙妮,25104
28560087,Time Back,Bad Style,38840
5086081,River Flows In You (Original Mix),Mark Pride,60258
407450660,we've never met but, can we have a coffee or something,In Love With A Ghost,30236
2529472,Purple Passion,Diana Boncheva,90086
454035505,Asphyxia,逆时针向,137261
415085696,【钢琴】雨的印记（Kiss The Rain）（Cover YIRUMA）,昼夜,10984
1299293129,一个人过冬天（Cover：寻找幸福）,宋世贤,14139
5189652,Menuet D major,Wolfgang Amadeus Mozart,22394
442760,月光の雲海,久石譲,19778
17265634,From The Window Of My Room,Dorena,5027
4405800,We Choose To Go To The Moon,There's a Light,17856
29452826,One Is Glad To Be Of Service (in memory of Robin Williams),April Rain,8906
18093333,I Love You But In The End I Will Destroy You,Goonies Never Say Die,4892
4084080,The Dead Flag Blues (Intro),Godspeed You! Black Emperor,7139
29023826,Lights Frightened The Captain,Stars As Lights,11157
16468505,As Far As the Eye Can See,As the Stars Fall,7616
3944160,Thunder In Everyone Of Us,The Last Sighs Of The Wind,13590
4283620,It's Dark, It's Cold, It's Winter,Sleepmakeswaves,9381
25842623,Sonata No. 8 in C Minor, Op. 13, &quot;Pathétique&quot;: III. Rondo: Allegro,Arthur Rubinstein,4911
429482215,Isawyouupstairswithaknife,arthrn,4963
785902,雲流れ,みかん箱/Foxtail-Grass Studio,49679
28524257,Deception Has a Way With Words,I Hear Sirens,1532
481858693,혼자가 편해,Sharo/Sugarhate,1558
552430919,Yeah, I Said It,Rihanna,724
33419747,Burning Friday Night,Lucky Kilimanjaro,1766
22753251,ANGEL,paris match,223
569200042,MOOD,LUCKY TAPES,1173
460043705,Happier,Ed Sheeran,9242
1428598926,言不由衷 (Live),徐佳莹,11818
1315441772,Run,LANY,301
1395822306,All Tinted,Wolftyla,379
436346833,凄美地 ,郭顶,30944
1428605243,深情包围 (つつみ込むように…) (Live),MISIA,5081
1422264254,つつみ込むように...,MISIA,809
1428598981,Monsters (Live),周深,38686
1340400257,没说再见的人,王子明,1274
1428605192,我们 (Live),华晨宇,116703
1428598997,凄美地 (Live),袁娅维,13029
27713963,好心分手,卢巧音/王力宏,61718
306920,错的人,萧亚轩,26738
551816010,我们,陈奕迅,316766
534542079,侧脸,于果,157141
28191532,为你我受冷风吹,胡彦斌,54634
476659144,小宇,Todd Li,65942
27937466,忽然之间,莫文蔚,32356
1309394162,再见青春,任素汐,42408
21270787,Pink Moon,Nick Drake,683
1294054351,I'm Lonely,Darondo,6
25707139,一生所爱,卢冠廷/莫文蔚,88277
27984852,Didn't I,Darondo,104
26920966,I Can't Stand The Rain,Ann Peebles,82
4990618,ニコルのピアノ“涙のテーマ”,柿島伸次,2625
34341360,梦中的婚礼,Richard Clayderman,46988
1325185564,Buchanan Hammer,Los Tones,2
5049547,Lovin' You,Minnie Riperton,331
515788042,DJ Okawari - Flower Dance（钢琴原版）,Oturans,10205
29717271,Go Time,Mark Petrie,166162
1696373,Croatian Rhapsody,Maksim Mrvica,106929
357126,Tassel,Cymophane,83467
530507,五月雨,高梨康治,41868
29947420,Fade,Alan Walker,641763
404610,Town of Windmill,a_hisa,38639
31680247,While We Sleepwalk,Paint The Sky Red,9949
472260022,妳的烟熏到我没关系,绿橄榄,7690
25640549,晚安亲爱的,苏醒,4016
16468501,I Gave You a Choice,As the Stars Fall,1562
1060914,Nocturne No. 2 in E Flat Major, Op. 9, No. 2,Arthur Rubinstein/Frédéric François Chopin,10265
1876958,All My Feeling Were Fake,RQTN,9781
33785701,A Gallant Gentleman,We Lost The Sea,2459
862098739,living the dream,cwason/dvdkm,56
1354242,Discussion Among Men,Followed By Ghosts,5763
1070769,Her Name Was Tragedy,One Star Closer,4488
513954878,เพียงเธอ,FIIXD,75
28740552,January Stars,The Arctic Flow,106
27785680,I Will,Scott Orr,584
553815085,streetlights,jiwoo,5411
1400229454,ปล่อยให้ตัวฉันไป,Moving and Cut,273
534631283,ไม่เหมือนใคร,D Gerrard,96
1325722724,Aphrodite,RINI,1455
524926813,คืนจันทร์,LOSO,14
1341785611,Ghost Choir,Louie Zong,1282
1396966750,Space,Priesemut,13
154290,我用所有报答爱,张靓颖,3031
306643,不难,徐佳莹,8428
1358574927,夏 日 時 光 ℃,Slim Fey,950
113914,张三的歌,李寿全,4163
1429908229,张三的歌 (Live),胡夏,17191
1429908253,神树 (Live),华晨宇,140677
354352,月牙湾,F.I.R.,58830
1429905465,What A Wonderful World (Live),MISIA,2271
1429905466,不难 (Live),徐佳莹,6858
1429908222,我用所有报答爱 (Live),黄霄雲,21421
1649082,What A Wonderful World,Louis Armstrong,7462
1371712655,So Long/难熬,毛毛Queencs/王子明,173
1372970873,我的名字（Cover：焦迈奇）,袁小葳,12738
563563783,ANYWAY,N.Flying,1759
1321392802,鹦鹉,孟凡明,17411
522510615,千禧,徐秉龙,95547
25727803,修炼爱情,林俊杰,114767
28949444,喜欢你,G.E.M.邓紫棋,37549
1399112638,心似烟火,陈壹千,27087
189323,断点,张敬轩,35621
1426888943,南山南（抖音版）（Cover：马頔）,瑞子,2146
1331997081,山海（Cover：草东没有派对）,隔壁老樊,92757
86369,偏爱,张芸京,142276
1370007645,夜半（完整版）（Cover：谢宇伦）,王泽科,21051
864437659,Duke,Kantata,0
550031809,Virgenes del Sol,Manzanita y su Conjunto,0
524869238,Say You'll Say So,Geoffrey Landers,22
1299570939,Once Upon A Time,Max Oazo/Moonessa,21196
